Alpha,Beta,BinaryCondition,Condition,Delta,Gamma,TernaryCondition,Theta
0.521159965,0.3274036331,,RecoveryEyesOpened,1.3494886127,0.1371099561,InBetween,0.5879913835
0.8353633878,0.4266764631,Conscious,AwakeEyesClosed,1.6700638481,0.1608243366,Conscious,0.931453496
0.7702047167,0.4573258102,Conscious,AwakeEyesOpened,1.7519306666,0.196000502,Conscious,0.9663086009
0.3022357649,0.2122383857,,AnestheticInjection,1.8006402959,0.0978204776,InBetween,0.430757637
0.4158607839,0.3217551174,Unconscious,Anesthetized,3.4858955633,0.1526760399,Unconscious,0.6649861117
0.6095339245,0.4570281874,,RecoveryEyesClosed,2.453467322,0.2247496131,InBetween,0.7889996268
0.6250852722,0.4361937011,,RecoveryEyesOpened,2.0449106346,0.2168068294,InBetween,0.8225258945
0.8126615469,0.4259649127,Conscious,AwakeEyesClosed,1.7659190424,0.1622667725,Conscious,0.8841221322
0.7604126335,0.4752659334,Conscious,AwakeEyesOpened,1.7124998778,0.2043561681,Conscious,0.9366984038
0.3788201162,0.2729288481,,AnestheticInjection,2.9189601584,0.1276517325,InBetween,0.596378388
0.4601452633,0.3534022061,Unconscious,Anesthetized,4.0234460129,0.1798679289,Unconscious,0.7715121439
0.6539108068,0.4296623665,,RecoveryEyesClosed,2.1898876306,0.1950625758,InBetween,0.7695592222
0.6602398196,0.4601991531,,RecoveryEyesOpened,1.9438995773,0.2158048245,InBetween,0.8011256265
0.6511736229,0.328065124,Conscious,AwakeEyesClosed,1.0914388231,0.1264234634,Conscious,0.6302095323
0.6138025251,0.3573193861,Conscious,AwakeEyesOpened,1.3435115647,0.1569756181,Conscious,0.7465918278
0.9277899086,0.4351238864,,AnestheticInjection,3.9540865914,0.1676824999,InBetween,1.3852725994
0.8094317032,0.373027904,Unconscious,Anesthetized,3.8438556377,0.1407691254,Unconscious,1.2475401257
0.7053830557,0.3395332932,,RecoveryEyesClosed,1.0504406303,0.1390372029,InBetween,0.6496012412
0.55810116,0.3369853436,,RecoveryEyesOpened,1.1274275667,0.1644066224,InBetween,0.6031046074
0.7105396538,0.3301551253,Conscious,AwakeEyesClosed,1.2483745217,0.1265584995,Conscious,0.7240844842
0.6447598178,0.3703874229,Conscious,AwakeEyesOpened,1.3793152104,0.1605063056,Conscious,0.7853370144
0.6247978695,0.3036162325,,AnestheticInjection,2.0900028748,0.1394320887,InBetween,0.9990559729
0.6288522643,0.2953311781,Unconscious,Anesthetized,2.5238416843,0.1620402712,Unconscious,1.1743676144
0.4779468075,0.2544462118,,RecoveryEyesClosed,1.6680949934,0.1517528747,InBetween,0.8453040181
0.5018271338,0.3086525699,,RecoveryEyesOpened,1.6626298105,0.1971496449,InBetween,0.8015756271
